generated_at,symbol,quote_status,normalized_status,decision,research_plan_available,signal_bridge_status,observation_signal,manual_action_allowed,auto_trade_allowed,order_action_allowed,cancel_action_allowed,rebalance_action_allowed,diagnostic_reason,operator_next_step
2026-05-25T03:16:52+00:00,GLD,UNAVAILABLE,SAFE_UNAVAILABLE,HOLD_SAFE_FAILURE,true,HOLD_NO_REAL_QUOTE,NO_REAL_QUOTE_REVIEW_ONLY,false,false,false,false,false,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection
2026-05-25T03:16:52+00:00,SLV,UNAVAILABLE,SAFE_UNAVAILABLE,HOLD_SAFE_FAILURE,true,HOLD_NO_REAL_QUOTE,NO_REAL_QUOTE_REVIEW_ONLY,false,false,false,false,false,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection
