phase,run_id,symbol,asset_class,exchange,currency,operator_approved,market_data_request_attempted,market_data_status,ticker_received,bid_present,ask_present,last_present,close_present,delayed_or_realtime,account_read_attempted,positions_read_attempted,historical_data_requested,contract_qualification_attempted,orders_submitted,telegram_real_send_attempted,external_effect,error_type,error_message_redacted,evidence,recommendation,timestamp_utc
Phase 569-572,US-ETF-MARKET-DATA-EXECUTE-20260528T095722Z,GLD,ETF,SMART,USD,YES,YES,PERMISSION_DENIED,YES,NO,NO,NO,NO,UNKNOWN,NO,NO,NO,NO,NO,NO,CONNECT_DISCONNECT_REQ_MKT_DATA_GLD_SLV_ONLY,PERMISSION_DENIED,IBKR_10089_MARKET_DATA_SUBSCRIPTION_REQUIRED_DELAYED_AVAILABLE,GLD_ibkr_api_error_captured,review_ibkr_connection_market_data_permission_or_subscription_before_any_later_phase,2026-05-28T09:57:22+00:00
Phase 569-572,US-ETF-MARKET-DATA-EXECUTE-20260528T095722Z,SLV,ETF,SMART,USD,YES,YES,PERMISSION_DENIED,YES,NO,NO,NO,NO,UNKNOWN,NO,NO,NO,NO,NO,NO,CONNECT_DISCONNECT_REQ_MKT_DATA_GLD_SLV_ONLY,PERMISSION_DENIED,IBKR_10089_MARKET_DATA_SUBSCRIPTION_REQUIRED_DELAYED_AVAILABLE,SLV_ibkr_api_error_captured,review_ibkr_connection_market_data_permission_or_subscription_before_any_later_phase,2026-05-28T09:57:22+00:00
