generated_at,symbol,threshold_profile_status,spread_status,spread_threshold_status,range_status,range_threshold_status,signal_quality,signal_quality_status,risk_label,risk_label_status,batch_i_env_gate_status,batch_i_audit_gate_status,safe_unavailable_preserved,production_ready_claim_detected,strategy_auto_execution_allowed,trading_actions_allowed,order_action_allowed,cancel_action_allowed,rebalance_action_allowed,account_read_allowed,position_read_allowed,historical_data_request_allowed,telegram_real_send_allowed,manual_only,research_only,observation_only,diagnostic_reason
2026-05-25T08:16:32+00:00,GLD,BATCH_J_THRESHOLD_PROFILE_REVIEW_ONLY,unavailable,review_required,unavailable,review_required,low,review_required,safe_unavailable,review_required,SAFE_UNAVAILABLE_REVIEW_REQUIRED,PASS,true,false,false,false,false,false,false,false,false,false,false,true,true,true,SAFE_UNAVAILABLE_REVIEW_REQUIRED_preserved_threshold_framework_only
2026-05-25T08:16:32+00:00,SLV,BATCH_J_THRESHOLD_PROFILE_REVIEW_ONLY,unavailable,review_required,unavailable,review_required,low,review_required,safe_unavailable,review_required,SAFE_UNAVAILABLE_REVIEW_REQUIRED,PASS,true,false,false,false,false,false,false,false,false,false,false,true,true,true,SAFE_UNAVAILABLE_REVIEW_REQUIRED_preserved_threshold_framework_only
