generated_at,symbol,explanation_status,spread_observation_status,range_status,strategy_quality_status,readiness_status,manual_review_required,strategy_explanation,diagnostic_reason,operator_next_step,auto_trade_allowed,account_read_allowed,position_read_allowed,historical_data_request_allowed,telegram_real_send_allowed,order_action_allowed,cancel_action_allowed,rebalance_action_allowed
2026-05-25T04:29:28+00:00,GLD,WHY_HOLD_SAFE_UNAVAILABLE,SAFE_UNAVAILABLE,RANGE_PENDING_NO_REAL_QUOTE,DATA_UNAVAILABLE_BUT_SAFE,MVP_SAFE_UNAVAILABLE,true,"Real-market quote context is unavailable, so the safe outcome is to hold for review without execution.",real_quote_or_spread_context_unavailable_but_safety_flags_false,review_real_marketdata_connection_continue_observation_only,false,false,false,false,false,false,false,false
2026-05-25T04:29:28+00:00,SLV,WHY_HOLD_SAFE_UNAVAILABLE,SAFE_UNAVAILABLE,RANGE_PENDING_NO_REAL_QUOTE,DATA_UNAVAILABLE_BUT_SAFE,MVP_SAFE_UNAVAILABLE,true,"Real-market quote context is unavailable, so the safe outcome is to hold for review without execution.",real_quote_or_spread_context_unavailable_but_safety_flags_false,review_real_marketdata_connection_continue_observation_only,false,false,false,false,false,false,false,false
