plan_run_id,plan_timestamp,display_symbol,symbol,reference_price,price_status,data_delay_flag,effective_market_data_type,live_subscription_status,api_error_codes,operator_status,recommended_operator_action,research_plan_status,data_quality_label,market_context_label,manual_observation_bias,manual_watch_zone,manual_invalid_trigger,manual_exit_review_trigger,risk_note,time_horizon,action_allowed,broker_execution_triggered,historical_data_request_triggered,account_read_triggered,position_read_triggered,telegram_send_triggered
research_plan_20260524_090758_UTC,2026-05-24T09:07:58.008515+00:00,GLD,GLD,,no_price,delayed,delayed,LIVE_NOT_SUBSCRIBED_DELAYED_AVAILABLE,"10089,300,10167",OPERATOR_REVIEW_BLOCKED,NO_PRICE_REVIEW_BLOCKED,NO_PRICE_PLAN_BLOCKED,NO_PRICE,NO_PRICE_BLOCKED,NO_PRICE_BLOCKED,N/A,N/A,N/A,Manual data review required before any research plan.,manual review session,false,false,false,false,false,false
research_plan_20260524_090758_UTC,2026-05-24T09:07:58.008515+00:00,SLV,SLV,68.31,usable_price,delayed,delayed,LIVE_NOT_SUBSCRIBED_DELAYED_AVAILABLE,"10089,300,10167",OPERATOR_REVIEW_READY,MANUAL_REFERENCE_REVIEW_ONLY,REFERENCE_ONLY_PLAN_READY,DELAYED_USABLE_REFERENCE,DELAYED_REFERENCE_ONLY,REFERENCE_ONLY,observe around reference price +/-2% (68.31); manual review only,manual review only if local reference differs by more than 3%,manual review only if reference context changes materially,Reference-only research artifact from delayed data; manual review required; no broker or account calls.,manual review session,false,false,false,false,false,false
