generated_at,symbol,asset_class,market,currency,quote_source,quote_status,data_status,connection_succeeded,market_data_request_triggered,snapshot_rows_detected,last_price,bid,ask,close,quote_time,staleness_status,normalized_status,diagnostic_category,diagnostic_reason,operator_next_step
2026-05-25T03:16:44+00:00,GLD,ETF,US,USD,phase444_446_operator_chain,UNAVAILABLE,REAL_QUOTE_UNAVAILABLE,false,false,3,,,,,,UNKNOWN_NO_REAL_QUOTE,SAFE_UNAVAILABLE,PERMISSION_OR_CONNECTION_FAILURE,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection
2026-05-25T03:16:44+00:00,SLV,ETF,US,USD,phase444_446_operator_chain,UNAVAILABLE,REAL_QUOTE_UNAVAILABLE,false,false,3,,,,,,UNKNOWN_NO_REAL_QUOTE,SAFE_UNAVAILABLE,PERMISSION_OR_CONNECTION_FAILURE,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection
