generated_at,symbol,real_quote_state,quote_status,normalized_status,signal_bridge_status,observation_allowed,manual_review_only,permission_or_connection_failure,safe_unavailable,connection_succeeded,market_data_request_triggered,snapshot_rows_detected,last_price,bid,ask,close,observation_summary,operator_next_step,auto_trade_allowed,account_read_allowed,position_read_allowed,historical_data_request_allowed,telegram_real_send_allowed,order_action_allowed,cancel_action_allowed,rebalance_action_allowed
2026-05-25T03:16:52+00:00,GLD,PERMISSION_OR_CONNECTION_FAILURE,UNAVAILABLE,SAFE_UNAVAILABLE,HOLD_NO_REAL_QUOTE,false,true,true,true,false,false,3,,,,,permission or connection failure; manual review only,review_real_marketdata_connection,false,false,false,false,false,false,false,false
2026-05-25T03:16:52+00:00,SLV,PERMISSION_OR_CONNECTION_FAILURE,UNAVAILABLE,SAFE_UNAVAILABLE,HOLD_NO_REAL_QUOTE,false,true,true,true,false,false,3,,,,,permission or connection failure; manual review only,review_real_marketdata_connection,false,false,false,false,false,false,false,false
