generated_at,symbol,quote_status,normalized_status,range_status,lower_observation_band,upper_observation_band,range_basis,confidence_label,manual_review_required,diagnostic_reason,operator_next_step,auto_trade_allowed,order_action_allowed
2026-05-25T04:29:27+00:00,GLD,UNAVAILABLE,SAFE_UNAVAILABLE,RANGE_PENDING_NO_REAL_QUOTE,,,real_quote_unavailable,NO_REAL_QUOTE,true,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection_before_range_observation,false,false
2026-05-25T04:29:27+00:00,SLV,UNAVAILABLE,SAFE_UNAVAILABLE,RANGE_PENDING_NO_REAL_QUOTE,,,real_quote_unavailable,NO_REAL_QUOTE,true,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection_before_range_observation,false,false
