phase,run_id,symbol,asset_class,exchange,currency,operator_approved,qualification_attempted,qualification_status,qualified,contract_count,primary_exchange_redacted,con_id_present,market_data_requested,account_read_attempted,positions_read_attempted,historical_data_requested,orders_submitted,telegram_real_send_attempted,external_effect,error_type,error_message_redacted,evidence,recommendation,timestamp_utc
Phase 553-556,US-ETF-CONTRACT-QUALIFICATION-20260528T092309Z,GLD,ETF,SMART,USD,YES,YES,QUALIFIED,YES,1,PRESENT_REDACTED,YES,NO,NO,NO,NO,NO,NO,CONNECT_DISCONNECT_QUALIFY_GLD_SLV_ONLY,QUALIFIED,,GLD_qualified_once_contract_count_1,archive_contract_identity_without_requesting_market_data_account_positions_historical_data_or_orders,2026-05-28T09:23:09+00:00
Phase 553-556,US-ETF-CONTRACT-QUALIFICATION-20260528T092309Z,SLV,ETF,SMART,USD,YES,YES,QUALIFIED,YES,1,PRESENT_REDACTED,YES,NO,NO,NO,NO,NO,NO,CONNECT_DISCONNECT_QUALIFY_GLD_SLV_ONLY,QUALIFIED,,SLV_qualified_once_contract_count_1,archive_contract_identity_without_requesting_market_data_account_positions_historical_data_or_orders,2026-05-28T09:23:09+00:00
