generated_at,symbol,quote_status,normalized_status,signal_bridge_status,threshold_status,threshold_basis,signal_quality,observation_bias,manual_review_required,auto_trade_allowed,order_action_allowed,cancel_action_allowed,rebalance_action_allowed,diagnostic_reason,operator_next_step
2026-05-25T04:04:55+00:00,GLD,UNAVAILABLE,SAFE_UNAVAILABLE,HOLD_NO_REAL_QUOTE,HOLD_NO_REAL_QUOTE,N/A,REAL_QUOTE_UNAVAILABLE,HOLD_NO_REAL_QUOTE,true,false,false,false,false,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection
2026-05-25T04:04:55+00:00,SLV,UNAVAILABLE,SAFE_UNAVAILABLE,HOLD_NO_REAL_QUOTE,HOLD_NO_REAL_QUOTE,observe around reference price +/-2% (68.31); manual review only,REAL_QUOTE_UNAVAILABLE,HOLD_NO_REAL_QUOTE,true,false,false,false,false,real_marketdata_connection_or_request_not_confirmed,review_real_marketdata_connection
